Zellwand Material,Polysaccharide
Cytoplasma,Durch Zellmembran begrenzt
Bakterien Zellaufbau,"Keinen Zellkern, sondern nur Kernäquivalent --> Nucleoid"
Nucleoid,Kernäquivalent
Prokaryoten,"Zb Bakterien, haben keinen Zellkern, sondern nur Nucleoid."
Plasmide,kleine Ringe der Kernsäure DNA
Zwei Gruppen Prokaryoten,Bakterien und Archaeen
Eukaryoten,Besitzen echten Zellkern
Ribosom,makromolekulare Komplexe aus Proteinen und RNA
Kompartimente,"membranbegrenzte Räume in der Zelle, gebraucht um abzugrenzen"
Mitochondrien,"Gebilde in Zelle, die in Eukaryoten vorkommt und Erbsubstanz enthält. Auf Oberfläche von Matrix bildung von ATP; Krafwerke von Zellen"
ATP,Adenosintriphospat
Endoplasmatische Reticulum,"Verzweigtes Kanalsystem, Geht direkt in die Zellhülle des Reticulums über, raues ER, glattes ER"
raues ER <--> glattes ER,Auf Membranoberfläche Ribosomen <--> Keine Ribosomen
Ribosome,"kugelige Partikel, aus RNA und Proteinen"
Zellwand: Aufbau  Funktion,"Material: Mikrofibrillen, aus Cellulose --> Mikrofilienbündel."
Zellverbindungen,"Plasmodesmen bei Pflanzen, gap junctions bei Tieren"
Plasmodesmen,zyliderförmige Kanäle in pflanzlichen Zellen
gap junctions,"tierische Zellen, Kommunikations-Kontaktstellen"
Desmosome,Haftpunkte bei Zellenverbindungen
tight junctions,"Zellen werden zusammen gehalten, gleichzeitig abgedichtet."
Unterschied Desmosom tight junctions,"Desmosom ist nicht so dicht, hat noch ein wenig space."
Cytoskelett,"Cytoplasma ist von Proteinfilamenten durchzogen. mechanische festigkeit, plasmaströmungen, muskelkontraktionen"
Mikrotubuli,röhrenförmige Proteinfilamente
Centriolen,"Bestehen aus Mikrotubuli, bei Zellteilung eine Rolle"
Zellkern,"Nucleus, RNA, DNA"
"Karyoplasma, Cytoplasma","Inneres, Äusserer Inhalt"
Vakuole,Mit Flüssigkeit gefüllte Hohlräume in pflanzlichen Zellen
Turgor,"Innendruck der Zelle, durch Vakuole"
Zisterne,Hohlröume in ER
Dictyosom,"Membranstapel, Netz, --> GOLGI-Apparat"
Golgi-Apparat,"Golgi-Vesikel bei Dictyosomen, Aufbau Zellwandmaterial, Sekretstoffe"
Plastide,"Begrenzt; Entwickeln sich zu Leukoplast (Amyloplast, Proteinoplast, Elaioplast), Chloroplast;"
"Amyloplast, Proteinoplast, Elaioplast","Speicherung von Stärke, Protein, Lipide"
Chloroplast,Chlorophyll und Carotin absorbieren Licht; Photosynthese in Thylakoidbereichen
Stroma,Inneres Chloroplast
(Stroma-) Thylakoid,"flache Membranzisterne, enthalten Cholorphyll und Carotin --> Photosynthese."
Enzyme aus was bestehen sie?,Aus Eiweissen
Cofaktoren,"Neben Eiweissen haben Enzyme noch andere chemische Bestandteile; niedermolekulare Teile, Metallionen; werden durch Vitamine aufgenommen"
Enzym: Katalase,Wasserstoffperoxid zerlegt (H2O2)
Apoenzym,Der Proteinanteil des Enzyms
prostehtische Gruppen = Holoenzym,Apoenzyme eng mit Cofaktoren verbunden.
ATP wo genau Energie gespeichert,In chemischen Bindungen von zwei Phospatresten P; Energie wird freigesetzt durch abspalten von Phospatresten. 
Hydrolyse ATP --> ...,ADP: Adenosindiphosphat
Cosubstrat,"Coenzyme gehen jedes Mal verändert aus Reaktion hervor, verhält sich also wie ein Substrat. Also Cosubtrat. Bsp: ATP ist ein Cosubstrat"
ATP --> ADP Enzym,ATP-Synthase
