Erythrozyten,Rote Blutkörperchen
Rote Farbe bei Erythrozyten,Hämoglobin
Funktion Hämoglobin,"Sauerstoff binden, an Häm-Gruppe: Zentrum Eisenion"
Leukozyten,Weisse Blutkörperchen
Thrombocyten,"Blutplättchen, Blutgerinnung"
Blutplasma,"Lösung Proteine, Kohlenhydrate, Mineralien"
Bildung der Blutzellen,Knochenmark
Erythrozyten Energiegewinnung,"Glykolyse, nicht Mitochrondrien ATP"
Leukozyten Arten,"Granulocyte, Makrophage, Lymphozyte"
Leukämie,Vermehrte Bildung von Leukocyten
Erythropoietin,"Hormon, vermehrte Erythrocytenbildung"
Sauerstofftransport,"Lungenbläschen binden an Häm-Gruppe (<-- Hämoglobin (<-- Erythrocyt)); In Gewebe Diffusion, gibt Sauerstoff dem Myoglobin ab"
Myoglobin,"Farbstoff in Geweben, der hohes Bindungsvermögen für Sauerstoffmoleküle besitzt"
Kohlenstoff Atmung wie,Kohlenstoffmoleküle diffundieren in Blutkapillare
Blutstillung Vorgang,"Thrombocyten geben Protein ab: Plättchenfaktor, das weitere Thrombocyten andocken lässt."
Blutgerinnung Vorgang,Gerinnungsfaktoren --> Enzym Thrombin --> Fibrinogen --> Fibrin: Erstellt ein Netz aus Fibrin
Thrombose,schmerzhafte Blutstauung
Thrombus,Blutgerinsel
Embolie,Schliessen einer Blutarterie
offener Blutkreislauf,Blut strömt frei zwischen den Räumen der Organe und versorgt so die Organe
geschlossener Blutkreislauf,Das Blut fliesst in den Röhren
Blut Kreislauf,Herz --> Arterien --> Kapillaren --> Venen --> Herz
einfacher Blutkreislauf,Zb bei Fischen; der Lungenkreislauf ist vom Körperkreislauf NICHT getrennt.
doppelter Blutkreislauf,der Lungenkreislauf ist vom Körperkreislauf getrennt.
Sinusknoten,"in Verbindung mit vegetativen Nervensystem, erregt Herz, "
Systole1,"Ziehen sich Hauptkammern zusammen, Vorkammer öffnen sich"
Diastole,Ziehen sich Vorkommern zusammen
Systole2,Mit Systolendruck Blut senden
Lymphsystem,Lymphe = Blut ohne Blutzellen
Entstehung Blutplasma,Durch hohen Druck in arteriellen Kapillaren wird das Blut GEFILTERT
Reabsorption,Blutplasma gelangt durch Osmose zurück in Blut
Lymphgefässsystem Funktion,Abtransport von Gewebesflüssigkeit
Lymphknoten Funktion,Reinigungs- und Abwehrarbeit
Ödem,"Der Abtransport on Gewebesflüssigkeiten funktioniert nicht mehr richtig, es kommt zu einem Stau"
