homozygot,reinerbig
heterozygot,mischerbig
1. Mendelsche Regel,"Uniformitätsregel: 2 Individuen einer Art kreuzen, die eine Eigenschaft unterscheiden, für das sie reinerbig sind, sind die Nachkommen identisch in dieser Eigenschaft"
2. Mendelsche Regel,"Spaltungsregel: Kreuzt man die Invididuen 1. Filialgeneration, so teilt sich der Phänotyp im dominant-rezessiven Erbgang in 25\% 75\%"
3. Mendelsche Regel,Unabhängigkeitsregel: Die verschiedenen Merkmale sind frei miteinander kombinierbar
X-Chromosomengebundene Kreuzung,Möglichkeit 1: dominante Gene liegen auf X X ♀. Möglichkeit 2: dominante Gene liegen auf X ♂
X-Chrom.geb. Kreuzung Uniformität,dom auf X X fem
X-Chrom.geb. Kreuzung keine Uniformität,dom auf X male
Genkopplung,Gene werden im Laufe von Generationen gemeinsam vererbt; Verhalten sich nicht im Laufe der dritten mendelschen Regel
Koppelungsgruppe,Auf einem Chromosomen liegende Gene; verhalten sich wie ein Gen (kinda)
Morgan-Einheiten,Prozentsatz von Entkoppelungen zweier Allele.
Chiasma,Überkreuzungsstelle
Genkartierung Prinzip,Wahrscheinlichkeit Crossing Over erhöht bei weiten Abständen
Dreipunktanalyse,Austauschwerte gegen relative Abstände auf dem Chromosom an
