Proximate Ursache,"Ursachen, die beschreiben, wodurch ein Verhalten vorgerufen wird (Hormone, Körper)"
Ultimate Ursachen,"Biologische Bedeutung, was nützt sie? Wie ist sie evolutiv entstanden?"
Etho-Phylogenie,Angeboren oder Erlernt?
Kasper-Hauser-Experiment,"Aufzucht von Individuuen unter Erfahrungsentzug; dient zur Feststellung, ob bestimmte Fähigkeiten angeboren sind oder erlernt werden, so können n! von Artgenossen. lernen"
Ethogramm Analyse,"Verhaltensbereich, Beschreibung, Dauer, Häufigkeit, Ultimate Ursache, Proximate Ursache, Physiologie des Verhaltens, Etho-Phylogenie"
Fehlerquellen Ethogramm,"Zu geringe Anzahl beobachtungen, Subjektive Akzentuierung, unädequater Biotop"
angeborene Lerndisposition,"zb Schlangenfurcht; Furcht nicht angeboren aber die Bereitschaft, schnell eine Phobie zu entwicklen auf Schlangen; manche Sachen lernen Menschen schneller"
bereichsspezifische Fähigkeiten,Zb menschen können sehr gut eine sprache lernen wenn sie noch kinder sind
Reizfilterung Ebenen,"periphere Filterung, zentrale Filterung"
periphere Filterung,Filterung direkt beim Rezeptor (Sinnesorgan)
Schlüsselreiz,"ein spezifischer Reiz, der ein bestimmtes (instinktives) Verhalten auslöst."
zentrale Filterung,Nervensystem bewertet Situationen
Taxi,Orientierungsverhalten eines Individuums im Raum
Voraussetzungen für Instinktverhalten,Appetenzverhalten
AAM,angeborener auslösender Mechanismus. Filtert den Schlüsselreiz; Nur bei Instinkten bzw angeborenen Verhalten
Übersprungverhalten,Instinktverhalten aus anderem Bereich kommt zustande
Umorientierte Handlung,"Normal, aber gewisse Bedingungen verhindern, dass der Reiz ausgeführt werden kann."
Leerlaufhandlung,"Antrieb so stark, dass Instiktverhalten spontan ausgeführt wird."
Intentionsbewegung,Eine nicht zu Ende geführtes Instinktverhalten
Ritualisierung,Signalübermittlung bei der Kommunikation
Prägung Merkmale,"In einer sensiblen Phase entstanden, schnell, irreversibel"
Lernen Arten,"Klassische Konditionierung, operante Konditionierung, Prägung, Habituation, Spiel, Neugier, kognitives Lernen"
klassische Konditionierung,"Bedingte Reaktionen, Assoziation ein neuer bedingter Reflex zu einem unbedingten Reflex hinzugefügt werden kann"
Generalisierung,Ähnliche Reize werden als einer aufgefasst
Löschung,"Falls der unbedingte Reiz ausfällt, wird die Assoziation abgeschwächt"
operantes Verhalten,spotan auftretendes Verhalten
operante Konditionierung,"Bedingte Aktionen, tier lernt, dass aktionen erfolg oder misserfolg haben"
Lernen durch Prägung,Prägung
Habituation,Gewöhnung
kognitives Lernen,"Lernen durch Einsicht, Zusammenhänge begreifen..."
Bedeutung Agression,"rivalisieren um Ressourcen, selektionswert"
Kommentkampf,"wie Rituale, Kämpfe mit festgelegten Regeln"
Beschädigungskämpfe,DEATH
Drei Theorien Agressionsverhalten,"Mensch ist agressiv, Mensch wird agressiv, Mensch ist+wird agressiv"
Mensch ist agressiv,"Freud, Lorenz"
Mensch wird agressiv,"Frustrations-Agressionstheorie, Lerntheorie"
Frustrations-Agressionstheorie,Frustration ist die Störung einer zielgerichteten Aktivität --> Frustrator wird angegriffen
Lerntheorie,Agression führt zur Erreichung eines bestimmten Ziels
Mensch ist+wird agressiv,Genetisch-Soziales Modell
Genetisch-Soz Modell 5 Bereiche,"Gene, Physiologie(hormone), Gesamtorganismus (psychisch), sozial (rangordnung zb), ökologisch (=umgebung)"
Genetisch-Soz Modell 3 historische Dim,"stammesgeschichtlich (rassen), kulturgeschtlich (rituale), ontogonetisch (persönliche erfahrungen)"
